70DE,12,048
0C19,12,024
9E7B,12,024
FC5E,12,048
009E,12,024
BCA9,12,024
EFCC,12,024
C666,12,024
0E06,10,040
B304,10,040
41E7,24,048
26DC,24,048
3DAF,12,024
0FC3,10,040
87C8,10,040
E0D5,10,040
5B9A,10,040
0CA3,10,040
060A,10,040
B729,12,024
EBA0,12,048
D4BE,24,048
8A69,12,048
1FCC,20,040
96B1,10,040
6435,12,048
B856,24,048
5B24,12,048
E89C,12,048
6FD3,12,048
AF9A,12,048
B649,12,048
142B,12,048
9100,12,048
E782,24,048
2627,24,048
E1B6,24,048
5949,24,048
F411,12,024
20D1,10,040
BDB5,24,048
3D19,24,048
7EEC,10,020
350E,24,048
68C1,24,048
B0C3,12,048
48F5,12,024
5B4F,04,016
6CA5,12,048
E534,12,048
BEC1,12,048
568F,12,024
EC35,12,024
BEA6,24,048
0785,20,040
3026,24,048
A9C3,20,080
EFBB,24,048
EFAF,24,048
7585,24,048
E876,12,024
85C3,12,048
2E83,12,024
36A7,12,024
8B09,24,048
7A12,24,048
CAB8,12,048
07D3,12,048
0B11,12,048
15F4,12,048
9140,12,048
182C,24,048
7C7D,24,048
C4C8,20,040
0C2C,20,040
E9A3,12,048
05EC,12,048
0860,12,048
4D43,24,096
92C0,12,048
EBAF,12,048
D879,12,048
77FB,12,048
37D5,12,024
E58D,20,040
3741,10,040
45D9,12,048
4DD0,12,048
515D,24,096
98EC,10,020
21E4,24,048
6304,24,048
168C,24,048
4D73,24,048
EDD8,24,096
DF09,12,048
BDE2,12,048
BD84,12,048
ED8B,12,024
DF43,12,048
0496,12,048
109E,12,048
F0B1,12,048
93B3,24,048
5305,24,048
0052,10,040
F785,24,048
1C07,24,048
E620,40,160
4F45,24,048
F488,12,024
52D3,12,048
ADF4,12,048
791E,12,048
7A39,12,048
0438,12,024
06FE,12,024
1D2A,24,096
FE5D,12,048
605C,24,096
54F7,24,096
ECE1,24,096
65EF,24,096
3388,12,048
B575,12,048
F103,10,020
9F12,12,048
9162,12,024
8F02,24,096
9621,24,096
2010,12,024
2036,12,048
80F5,24,048
7DD4,12,048
A200,16,064
FD82,24,048
64F0,24,048
C9D1,24,096
2D8A,12,048
BAF9,12,048
D4E6,12,024
CE14,12,048
2A6B,12,024
82D5,12,024
49A3,12,048
7868,20,040
A94A,12,048
9123,24,048
4048,24,048
17DB,24,048
4A4A,24,096
16A2,24,048
1BB2,24,048
6AD5,24,048
62FB,12,048
DE21,12,048
419C,12,024
ED55,24,048
D706,24,048
D844,24,048
010D,24,096
79BD,12,024
B2A8,20,080
A659,12,024
BD68,12,024
8FD5,24,096
975A,24,096
980A,24,048
1434,12,048
7DA3,12,048
B121,20,040
5C29,20,040
F474,24,048
D5AA,20,040
BA0A,15,060
6FF6,12,048
A52F,12,048
B9FE,15,060
18CF,20,040
ED4F,20,040
1A23,24,048
8A60,24,048
5F32,24,048
A172,24,048
CD3C,10,040
5BD6,10,040
BAAE,10,040
0EAA,24,048
0E89,24,048
E1C0,24,048
646E,12,024
A3C2,24,096
14CD,24,096
2F7C,24,096
1D2F,24,096
1476,24,096
F641,24,096
7321,24,096
20F0,24,096
2F51,12,048
9268,12,048
15A0,12,048
B52C,12,048
678C,24,048
09A9,24,048
9B9B,24,048
89D9,24,048
99DA,24,096
C521,12,048
E7B3,24,048
308C,24,048
715B,12,048
89DD,12,048
40EA,24,096
3FB2,24,096
9699,24,096
110D,24,096
9EF5,12,048
B9F6,12,048
2B35,20,040
CE2A,20,040
F27D,20,040
4969,12,024
8D88,24,096
FFB8,12,048
F1EC,12,048
B5B1,10,040
4CA7,12,048
A040,20,040
A149,20,040
6F42,24,048
7B8A,12,024
C757,12,024
0E0D,10,040
AD1E,10,040
5A7C,12,048
1D18,12,048
2E6E,12,024
6CCF,12,024
A8B1,12,048
6C8B,12,048
2485,12,048
0438,12,048
C3C2,12,048
8588,10,040
9640,10,040
F5A2,12,024
7D66,24,048
4747,24,048
9936,12,048
24EF,20,040
99B1,24,048
5F12,12,048
52B9,12,048
8FEF,24,048
1E82,12,048
F829,12,048
F8B4,12,048
2930,12,048
F23A,20,040
E899,20,080
02BF,12,048
34C4,12,048
5DB0,12,048
FB26,12,048
BF14,12,048
E42C,10,040
0B75,12,048
82E4,20,040
4C49,12,048
B1E1,12,048
E138,12,048
AC70,12,048
AF50,12,048
BB02,20,040
58D2,24,048
BBFA,24,096
C2D3,24,096
F21D,24,096
8515,20,080
64FC,20,080
A165,20,080
3838,24,096
7652,24,096
8951,24,096
C23F,24,096
BA49,24,096
0E4E,24,096
9B0E,12,048
E538,12,048
6B81,12,024
FEC4,12,048
E594,12,048
72C1,20,080
DD0A,20,080
017B,20,080
BE83,12,024
FA69,12,048
84AF,08,032
F70B,12,024
815C,24,096
A5F2,12,048
86AF,12,048
93F6,20,080
0805,12,048
F481,12,048
0E1C,12,048
E38D,12,048
5952,12,048
EEB3,12,048
3922,24,096
BFA8,12,048
9BB6,20,040
FF0C,10,040
ACC6,12,024
09C4,10,040
3357,12,048
F531,12,048
E135,12,048
F617,12,048
E725,12,024
6E2D,12,048
57CE,12,048
E7E3,12,048
BE80,12,048
A996,12,048
2ADC,04,016
0A83,12,048
FBC2,24,048
4EE9,12,024
D508,20,040
81FF,12,024
1300,12,024
2BE9,24,048
BC8C,12,048
3BB3,10,020
219D,24,048
6E65,24,048
2191,24,048
C623,20,080
745E,10,040
41FB,12,048
D2DF,12,048
349D,20,080
BC15,24,096
8C73,24,096
DED6,24,096
BA68,20,080
C2AB,12,024
00C2,04,016
DB3C,12,024
8D4F,12,024
EB8B,12,024
596F,12,048
DDA3,24,048
8E1C,12,048
A6C3,12,048
A422,12,048
174A,24,048
0398,12,048
36A6,24,048
BE7D,12,048
D656,24,048
FEE9,24,048
5D86,24,096
304E,12,024
D8FE,12,024
5DF1,10,040
4EEB,12,048
4CC2,12,048
55FB,12,048
B935,12,048
09B7,12,048
8D10,12,048
593C,12,048
6618,12,048
3F8B,12,048
D71E,24,096
322F,10,020
3224,10,020
310E,12,048
55DB,12,024
CAE6,12,048
FF00,08,032
89C5,12,048
649D,12,048
F026,12,048
F20B,12,048
6427,24,096
BFB5,12,048
36B2,12,048
5DD6,24,096
A4FF,12,048
B708,20,040
CFE5,24,048
8989,24,048
7221,24,048
2E97,24,048
3C65,24,048
A2C3,24,048
8409,12,024
C691,12,048
71CC,04,008
8785,04,016
E120,24,048
C895,12,048
13C0,12,048
71E5,20,040
8A8C,24,048
52D4,24,048
62DB,24,096
C54A,24,096
AFD2,24,096
AAD1,24,096
2832,12,048
B345,12,048
36C9,12,048
3DB2,12,048
3DA6,12,048
C053,12,048
238D,12,048
C0C8,24,096
60A3,24,096
1228,24,096
627E,24,096
EF5D,24,096
E54F,24,096
90CA,12,024
A572,12,024
8365,12,024
BAE2,12,024
818D,12,024
BC7A,12,024
82AF,12,048
9549,12,048
4BAB,12,048
6DC9,12,048
C7D9,12,048
BA01,12,048
C418,12,048
AFBA,12,048
022E,12,048
AD2E,10,020
74B5,24,048
095C,24,048
FAE8,12,024
D316,12,048
3479,12,048
E378,10,020
2F3F,10,020
70E2,20,080
4783,10,040
9898,24,048
9667,12,048
852B,12,048
D9E9,12,048
6781,12,048
B8D2,10,020
BC4B,12,048
CE61,12,048
2503,12,048
F1B5,12,024
8BC5,20,040
0986,12,024
CD37,12,024
CC39,12,024
CC73,12,024
CB75,12,024
B894,12,024
B796,12,024
C39B,24,048
6A79,24,048
5258,24,048
565D,12,048
186E,12,048
0270,12,048
E2C0,10,040
EE72,20,040
420F,12,048
BCEA,12,048
F8C0,18,072
BD3E,24,048
BD32,24,048
872C,12,048
D8BA,12,024
F568,12,024
B002,12,048
4252,12,024
C2B9,20,040
30D2,12,024
BB8E,10,040
74EE,10,040
2DF9,12,024
767A,20,080
6CB1,12,024
6D44,12,024
4BD7,12,048
6569,12,048
8560,12,048
E4B1,10,040
F230,12,048
CDF4,12,048
3AC2,12,024
050B,24,048
895D,20,080
73C7,12,048
DC72,24,048
BD73,12,024
146D,12,048
68FA,32,128
D11B,24,048
D5C2,24,048
6589,12,024
A070,12,024
B095,12,024
AF99,12,024
5D75,24,048
92CA,24,048
BA1B,12,048
1CD6,10,040
AE15,24,048
CBAD,24,048
8049,12,024
8600,06,024
38DC,06,024
F4E3,24,048
D9D5,24,048
1971,24,048
87EC,24,048
7B88,24,048
33C2,24,048
1C37,20,040
51D5,12,024
2E40,10,040
B68D,12,048
4FCD,12,048
4E93,12,048
BF4F,12,048
AD74,12,048
EF7D,20,080
53D8,24,096
D39E,12,048
3C47,20,080
B9D5,12,048
2A17,24,096
916A,12,048
EEFA,12,048
186A,12,024
637D,12,048
5082,12,024
BDB6,06,024
6F7A,06,024
E3BB,12,024
201E,12,048
7898,10,040
2C02,04,016
6EC6,10,040
520E,10,040
6275,12,048
2CE9,12,024
CC99,24,096
0555,12,024
44C5,12,024
F58D,10,040
6D22,12,048
772A,12,024
A77B,24,096
03D0,07,028
554F,07,028
AAFB,10,040
FD64,12,048
F7FF,04,008
526E,12,048
A401,20,080
3415,20,040
4C68,20,080
980B,20,040
AAAF,20,040
119A,20,040
C880,24,048
47AA,10,040
8BD6,12,048
3CE4,12,024
3CE3,12,024
BEC2,10,020
AA49,12,024
C92A,12,024
5971,12,048
89FE,12,024
922D,12,024
0611,12,024
2765,08,032
8682,12,048
0576,12,048
587F,10,020
9ABF,20,080
59B1,24,048
C89A,12,024
B9E4,12,024
C25C,12,024
3B4F,12,048
0852,12,024
4088,12,024
5B68,12,024
6E05,12,024
9558,12,024
311E,12,048
C380,12,048
CF5D,10,040
9075,12,048
AFE8,10,040
99CC,10,040
CD1A,10,040
68E3,10,040
B204,10,040
3C40,10,040
ED91,12,048
20C0,12,048
4E2F,10,040
83A0,10,040
DF38,12,024
C8AA,12,024
BFFA,12,048
